,Benchmarking,Account,Portfolio,Quotes,System Configuration
PingCDIBean$Proxy$_$$_WeldClientProxy,0.08108108108108109,0.0,0.0,0.0,0.0
List,0.0,0.5833333333333334,0.7659574468085106,0.7263157894736842,0.0
register(jsp),0.0,0.25,0.0,0.0,0.0
DTBroker3MDB,0.05405405405405406,0.0,0.19148936170212766,0.0,0.0
portfolio(jsp),0.0,0.0,0.14893617021276595,0.0,0.0
PingServlet2IncludeRcv,0.02702702702702703,0.0,0.0,0.0,0.0
JMSProducer,0.08108108108108109,0.0,0.5106382978723404,0.0,0.0
PingJsp(jsp),0.02702702702702703,0.0,0.0,0.0,0.0
JsonMessage,0.02702702702702703,0.0,0.0,0.0,0.0
EntityManager,0.16216216216216217,0.4947916666666667,0.5106382978723404,0.5052631578947369,0.0
PingServlet2Session2Entity,0.02702702702702703,0.0,0.0,0.0,0.0
TypedQuery,0.02702702702702703,0.4427083333333333,0.5106382978723404,0.5052631578947369,0.0
PrintWriter,0.3783783783783784,0.0,0.0,0.0,0.4
ServletOutputStream,0.13513513513513514,0.0,0.0,0.0,0.0
MarketSummaryWebSocket,0.0,0.3645833333333333,0.5106382978723404,0.4631578947368421,0.0
EJSLocal0SFPingEJBLocal_9c39fc21,0.02702702702702703,0.0,0.0,0.0,0.0
ServletRequest,0.0,0.9895833333333334,0.9893617021276596,1.0,0.2
URLConnection,0.02702702702702703,0.0,0.0,0.0,0.0
JsonObjectBuilder,0.02702702702702703,0.2708333333333333,0.5,0.4105263157894737,0.0
displayQuote(jsp),0.02702702702702703,0.0,0.24468085106382978,0.7473684210526316,0.0
PingServlet2Jsp,0.02702702702702703,0.0,0.0,0.0,0.0
PingSession3Object,0.02702702702702703,0.0,0.0,0.0,0.0
PingServlet2MDBQueue,0.02702702702702703,0.0,0.0,0.0,0.0
StringBuilder,0.8378378378378378,0.609375,0.9893617021276596,1.0,1.0
InterceptionDecorationContext,0.08108108108108109,0.0,0.0,0.0,0.0
DefaultBytecodeMethodResolver,0.02702702702702703,0.0,0.0,0.0,0.0
PingServlet,0.02702702702702703,0.0,0.0,0.0,0.0
TradeSLSBLocal,0.1891891891891892,0.0,0.2553191489361702,0.0,0.0
MethodHandler,0.02702702702702703,0.0,0.0,0.0,0.0
EJSDeployedSupport,0.02702702702702703,0.0625,0.0,0.0,0.0
StringWriter,0.02702702702702703,0.0,0.0,0.0,0.0
quote(jsp),0.02702702702702703,0.0,0.13829787234042554,0.35789473684210527,0.0
DataSource,0.13513513513513514,0.4947916666666667,0.4787234042553192,0.49473684210526314,0.8
JMSContext,0.08108108108108109,0.0,0.5106382978723404,0.0,0.0
registerImg(jsp),0.0,0.057291666666666664,0.0,0.0,0.0
JsonReader,0.02702702702702703,0.0,0.0,0.0,0.0
ExternalContext,0.0,0.0,0.0,0.0,0.0
PreparedStatement,0.10810810810810811,0.4947916666666667,0.4787234042553192,0.49473684210526314,0.6
CountDownLatch,0.0,0.2708333333333333,0.0,0.4105263157894737,0.0
HoldingDataBean,0.05405405405405406,0.171875,0.723404255319149,0.0,0.4
SessionContext,0.0,0.0,0.2553191489361702,0.0,0.0
PingWebSocketTextSync,0.05405405405405406,0.0,0.0,0.0,0.0
